Год,Группа,Курс,ФИО,Предмет,Дата,Оценка
2019,9ВТба-1,5,Александрова Ирина Алексеевна,Информатика,2023-01-01,4
2019,9ВТба-1,5,Кузнецов Андрей Игоревич,Математика,2023-01-01,5
2019,9ВТба-1,5,Кузнецов Андрей Игоревич,Физика,2023-01-01,4
2019,9ВТба-1,5,Кузнецов Андрей Игоревич,Информатика,2023-01-01,5
2019,9ВТба-1,5,Сергеева Татьяна Владимировна,Математика,2023-01-01,4
2019,9ВТба-1,5,Сергеева Татьяна Владимировна,Физика,2023-01-01,3
2019,9ВТба-1,5,Сергеева Татьяна Владимировна,Информатика,2023-01-01,4
2019,9ВТба-1,5,Петров Андрей Александрович,Математика,2023-01-01,5
2019,9ВТба-1,5,Петров Андрей Александрович,Физика,2023-01-01,4
2019,9ВТба-1,5,Петров Андрей Александрович,Информатика,2023-01-01,5
2019,9ВТба-1,5,Васильева Екатерина Сергеевна,Математика,2023-01-01,4
2019,9ВТба-1,5,Васильева Екатерина Сергеевна,Физика,2023-01-01,3
2019,9ВТба-1,5,Васильева Екатерина Сергеевна,Информатика,2023-01-01,4
2019,9ВТба-1,5,Калинин Денис Игоревич,Математика,2023-01-01,5
2019,9ВТба-1,5,Калинин Денис Игоревич,Физика,2023-01-01,4
2019,9ВТба-1,5,Калинин Денис Игоревич,Информатика,2023-01-01,5
2019,9ВТба-1,5,Сорокина Анна Андреевна,Математика,2023-01-01,4
2019,9ВТба-1,5,Сорокина Анна Андреевна,Физика,2023-01-01,3
2019,9ВТба-1,5,Сорокина Анна Андреевна,Информатика,2023-01-01,4
2019,9ВТба-1,5,Медведев Дмитрий Валерьевич,Математика,2023-01-01,5
2019,9ВТба-1,5,Медведев Дмитрий Валерьевич,Физика,2023-01-01,4
2019,9ВТба-1,5,Медведев Дмитрий Валерьевич,Информатика,2023-01-01,5
